geek_rate,title,num_votes,avg_rate,id
7.312,Sid Meier's Civilization: The Board Game,11354,7.51,77130
7.304,1960: The Making of the President,6951,7.56,27708
7.304,Agricola: All Creatures Big and Small,9043,7.51,119890
7.302,Grand Austria Hotel,3748,7.77,182874
7.302,1830: Railways & Robber Barons,3351,7.81,421
7.300,Imperial 2030,3977,7.74,54138
7.299,Isle of Skye: From Chieftain to King,8226,7.52,176494
7.298,Magic: The Gathering,22854,7.44,463
7.296,Die Macher,4496,7.66,1
7.293,Power Grid Deluxe: Europe/North America,2019,8.15,155873
7.288,Fury of Dracula (third edition),4399,7.73,181279
7.284,Samurai,12005,7.44,3
7.284,Claustrophobia,5586,7.61,36932
7.279,Dungeon Lords,10707,7.46,45315
7.278,Small World,43060,7.36,40692
7.277,Kingdom Death: Monster,1936,8.94,55690
7.274,BattleCON: Devastation of Indines,2156,8.11,123123
7.273,Star Wars: Armada,2692,8.01,163745
7.272,Blood Bowl: Living Rulebook,3005,7.88,15985
7.271,Battle Line,12211,7.42,760
7.269,Dixit,30986,7.36,39856
7.268,Letters from Whitechapel,8945,7.49,59959
7.259,Clash of Cultures,3924,7.70,40765
7.258,Mice and Mystics,10775,7.48,124708
7.254,Bruges,7047,7.49,136888
7.250,Ghost Stories,14127,7.39,37046
7.250,Advanced Squad Leader,2937,7.94,243
7.249,Mission: Red Planet (Second Edition),4075,7.67,176920
7.247,Endeavor,7991,7.46,33160
7.247,Codenames: Pictures,4759,7.61,198773
7.244,Merchants & Marauders,9579,7.45,25292
7.238,Love Letter,35672,7.32,129622
7.237,The Manhattan Project,6701,7.49,63628
7.235,Sushi Go Party!,3609,7.74,192291
7.234,Xia: Legends of a Drift System,3227,7.82,82222
7.232,Risk Legacy,5467,7.58,105134
7.231,Hive,20004,7.34,2655
7.229,Space Hulk (third edition),5858,7.57,54625
7.228,Takenoko,19815,7.35,70919
7.228,Notre Dame,9896,7.40,25554
7.226,Neuroshima Hex!,9721,7.45,21241
7.221,Dune,4559,7.61,121
7.221,King of Tokyo,36278,7.31,70323
7.220,In the Year of the Dragon,8221,7.41,31594
7.220,Acquire,15181,7.36,5
7.218,Glass Road,5790,7.50,143693
7.218,Civilization,6174,7.52,71
7.214,Rococo,4479,7.58,144344
7.212,Sheriff of Nottingham,14962,7.35,157969
7.209,Dead of Winter: The Long Night,2055,8.14,193037
7.207,Tikal,13647,7.34,54
7.205,Kanban: Automotive Revolution,2782,7.79,109276
7.202,Trickerion: Legends of Illusion,2519,7.86,163068
7.196,Indonesia,2663,7.77,19777
7.195,Saint Petersburg,12402,7.34,9217
7.193,Telestrations,6759,7.44,46213
7.192,San Juan,18705,7.30,8217
7.188,Deception: Murder in Hong Kong,4403,7.57,156129
7.188,Arkham Horror,30020,7.35,15987
7.185,One Night Ultimate Werewolf,11135,7.37,147949
7.184,A Few Acres of Snow,6224,7.44,79828
7.184,Ticket to Ride: Märklin,7724,7.41,21348
7.184,Survive: Escape from Atlantis!,13630,7.33,2653
7.181,The Pillars of the Earth,13114,7.32,24480
7.179,Champions of Midgard,3269,7.70,172287
7.177,Macao,5778,7.44,55670
7.173,Earth Reborn,2859,7.78,73171
7.170,Blood Bowl: Team Manager – The Card Game,8136,7.39,90137
7.169,Maria,1925,7.98,40354
7.165,BattleLore,8623,7.40,25417
7.165,At the Gates of Loyang,7133,7.39,39683
7.164,Pandemic Iberia,1588,8.24,198928
7.162,Antiquity,2213,7.83,13122
7.160,Roads & Boats,2483,7.76,875
7.160,Mansions of Madness,10555,7.40,83330
7.159,Lancaster,4795,7.49,96913
7.156,Quadropolis,5056,7.49,176396
