ID,bookID,chapterInBook,url,title,povID,ChapterRating
325,4,54,/index.php/Cersei_I_(A_Dance_with_Dragons),Cersei I,295,7.86
326,4,55,/index.php/The_Queensguard_(A_Dance_with_Dragons),The Queensguard,163,7.93
327,4,56,/index.php/The_Iron_Suitor_(A_Dance_with_Dragons),The Iron Suitor,1763,7.71
328,4,57,/index.php/Tyrion_XI_(A_Dance_with_Dragons),Tyrion XI,1716,8.03
329,4,58,/index.php/Jon_XII_(A_Dance_with_Dragons),Jon XII,851,8.24
330,4,59,/index.php/The_Discarded_Knight_(A_Dance_with_Dragons),The Discarded Knight,163,7.85
331,4,60,/index.php/The_Spurned_Suitor_(A_Dance_with_Dragons),The Spurned Suitor,1351,7.11
332,4,61,/index.php/The_Griffin_Reborn_(A_Dance_with_Dragons),The Griffin Reborn,840,8.38
333,4,62,/index.php/The_Sacrifice_(A_Dance_with_Dragons),The Sacrifice,138,8.44
334,4,63,/index.php/Victarion_I_(A_Dance_with_Dragons),Victarion I,1763,8.23
335,4,64,/index.php/The_Ugly_Little_Girl_(A_Dance_with_Dragons),The Ugly Little Girl,136,8.56
336,4,65,/index.php/Cersei_II_(A_Dance_with_Dragons),Cersei II,295,8.64
337,4,66,/index.php/Tyrion_XII_(A_Dance_with_Dragons),Tyrion XII,1716,7.8
338,4,67,/index.php/The_Kingbreaker_(A_Dance_with_Dragons),The Kingbreaker,163,9.13
339,4,68,/index.php/The_Dragontamer_(A_Dance_with_Dragons),The Dragontamer,1351,8.24
340,4,69,/index.php/Jon_XIII_(A_Dance_with_Dragons),Jon XIII,851,7.68
341,4,70,/index.php/The_Queen%27s_Hand_(A_Dance_with_Dragons),The Queen's Hand,163,8.11
342,4,71,/index.php/Daenerys_X_(A_Dance_with_Dragons),Daenerys X,352,7.57
343,4,72,/index.php/Epilogue_(A_Dance_with_Dragons),Epilogue,900,9.23
